Feature,Importance,Model,Run
MinorAxisLength,0.0756189795621798,RandomForestClassifier,run_19
Eccentricity,0.0925413074084243,RandomForestClassifier,run_19
ConvexArea,0.1584122833028228,RandomForestClassifier,run_19
Extent,0.0633977172144697,RandomForestClassifier,run_19
Perimeter,0.2449543524340331,RandomForestClassifier,run_19
Area,0.9394720015116036,SVC,run_14
MajorAxisLength,-43.77259924240434,SVC,run_14
MinorAxisLength,-165.27220804475138,SVC,run_14
Eccentricity,0.4302851418342119,SVC,run_14
ConvexArea,-0.698705012910068,SVC,run_14
Extent,-0.7302917973045575,SVC,run_14
Perimeter,54.72040596324018,SVC,run_14
Area,0.0005949450559594,LogisticRegression,run_14
MajorAxisLength,-0.0674779658740348,LogisticRegression,run_14
MinorAxisLength,-0.1111313780849529,LogisticRegression,run_14
Eccentricity,-0.0004321769188226,LogisticRegression,run_14
ConvexArea,-0.0004328809560508,LogisticRegression,run_14
Extent,-0.0007723423291877,LogisticRegression,run_14
Perimeter,0.0389583270175648,LogisticRegression,run_14
Area,0.1192352564571549,RandomForestClassifier,run_14
MajorAxisLength,0.2685183781124284,RandomForestClassifier,run_14
MinorAxisLength,0.0663423861359494,RandomForestClassifier,run_14
Eccentricity,0.099794140465662,RandomForestClassifier,run_14
ConvexArea,0.1371752367324439,RandomForestClassifier,run_14
Extent,0.0705148431191993,RandomForestClassifier,run_14
Perimeter,0.2384197589771617,RandomForestClassifier,run_14
Area,0.625816956453491,SVC,run_16
MajorAxisLength,-91.28587430580308,SVC,run_16
MinorAxisLength,-170.4209499116966,SVC,run_16
Eccentricity,0.3348848887564499,SVC,run_16
ConvexArea,-0.369214424281381,SVC,run_16
Extent,-0.2089919861202817,SVC,run_16
Perimeter,79.36075633060273,SVC,run_16
Area,0.0006003129232538,LogisticRegression,run_16
MajorAxisLength,-0.0717373824100532,LogisticRegression,run_16
MinorAxisLength,-0.111178907858294,LogisticRegression,run_16
Eccentricity,-0.0004270670234662,LogisticRegression,run_16
ConvexArea,-0.0004358210685705,LogisticRegression,run_16
Extent,-0.0006302408727998,LogisticRegression,run_16
Perimeter,0.0403369905948455,LogisticRegression,run_16
Area,0.1174852389896833,RandomForestClassifier,run_16
MajorAxisLength,0.2286335499077433,RandomForestClassifier,run_16
MinorAxisLength,0.0788927862920012,RandomForestClassifier,run_16
Eccentricity,0.0941439979535765,RandomForestClassifier,run_16
ConvexArea,0.1516285828465669,RandomForestClassifier,run_16
Extent,0.0631831472403291,RandomForestClassifier,run_16
Perimeter,0.2660326967700994,RandomForestClassifier,run_16
Area,-0.2780480971559882,SVC,run_3
MajorAxisLength,-13.98378519759035,SVC,run_3
MinorAxisLength,-91.19500371340972,SVC,run_3
Eccentricity,-0.0838936880064622,SVC,run_3
ConvexArea,0.5553251707460731,SVC,run_3
Extent,-0.3887112011503352,SVC,run_3
Perimeter,22.220722797452936,SVC,run_3
Area,0.0001611308218262,LogisticRegression,run_3
MajorAxisLength,-0.0487820925393858,LogisticRegression,run_3
MinorAxisLength,-0.0909109748888784,LogisticRegression,run_3
Eccentricity,-0.0004684195592504,LogisticRegression,run_3
ConvexArea,-5.309647397091353e-06,LogisticRegression,run_3
Extent,-0.0006587793896145,LogisticRegression,run_3
Perimeter,0.0269733840430507,LogisticRegression,run_3
Area,0.123048462769192,RandomForestClassifier,run_3
MajorAxisLength,0.2533331500568043,RandomForestClassifier,run_3
MinorAxisLength,0.0734956207336003,RandomForestClassifier,run_3
Eccentricity,0.0903809623961224,RandomForestClassifier,run_3
ConvexArea,0.1525107524192951,RandomForestClassifier,run_3
Extent,0.0630112733837015,RandomForestClassifier,run_3
Perimeter,0.2442197782412841,RandomForestClassifier,run_3
Area,-1.1962468874407932,SVC,run_2
MajorAxisLength,-41.55606816833426,SVC,run_2
MinorAxisLength,-133.751660529275,SVC,run_2
Eccentricity,0.1961364741579259,SVC,run_2
ConvexArea,1.590912714251317,SVC,run_2
Extent,-1.0506204751877213,SVC,run_2
Perimeter,27.19258929487501,SVC,run_2
Area,7.3119669187623e-05,LogisticRegression,run_2
MajorAxisLength,-0.0461010664691833,LogisticRegression,run_2
MinorAxisLength,-0.0857338203946779,LogisticRegression,run_2
Eccentricity,-0.0003759646527592,LogisticRegression,run_2
ConvexArea,9.415042966498804e-05,LogisticRegression,run_2
Extent,-0.000570586880943,LogisticRegression,run_2
Perimeter,0.0237106631845778,LogisticRegression,run_2
Area,0.1463379658833922,RandomForestClassifier,run_2
MajorAxisLength,0.1993837976492456,RandomForestClassifier,run_2
MinorAxisLength,0.0710877227023089,RandomForestClassifier,run_2
Eccentricity,0.0954169592215083,RandomForestClassifier,run_2
ConvexArea,0.1953336135802854,RandomForestClassifier,run_2
Extent,0.0655095467239787,RandomForestClassifier,run_2
Perimeter,0.2269303942392808,RandomForestClassifier,run_2
Area,0.1516098002903163,SVC,run_12
MajorAxisLength,-15.252544958137662,SVC,run_12
MinorAxisLength,-120.21716175257802,SVC,run_12
Eccentricity,0.2469435556067518,SVC,run_12
ConvexArea,0.0367500344291329,SVC,run_12
Extent,-0.2719404642055936,SVC,run_12
Perimeter,41.28590114429471,SVC,run_12
Area,0.0001407919402187,LogisticRegression,run_12
MajorAxisLength,-0.0479637974762248,LogisticRegression,run_12
MinorAxisLength,-0.0900565651107845,LogisticRegression,run_12
Eccentricity,-0.0004140130370484,LogisticRegression,run_12
ConvexArea,2.2824408750896568e-05,LogisticRegression,run_12
Extent,-0.0005179088008984,LogisticRegression,run_12
Perimeter,0.0257780402952322,LogisticRegression,run_12
Area,0.1359830268172397,RandomForestClassifier,run_12
MajorAxisLength,0.2273692518309794,RandomForestClassifier,run_12
MinorAxisLength,0.0823815912505769,RandomForestClassifier,run_12
Eccentricity,0.0882465337654663,RandomForestClassifier,run_12
ConvexArea,0.1502051918296612,RandomForestClassifier,run_12
Extent,0.0636045212392636,RandomForestClassifier,run_12
Perimeter,0.2522098832668127,RandomForestClassifier,run_12
